,battery_power,bluetooth,weight,memory,n_cores,ram,dual_sim,wifi,pixel_height,pixel_width,price_range
0,842,NO,188,7,2.0,2549,0,1,20,756,1.0
1,1021,YES,136,53,3.0,2631,1,0,905,1988,2.0
2,563,YES,145,41,5.0,2603,1,0,1263,1716,2.0
3,615,YES,131,10,6.0,2769,0,0,1216,1786,2.0
4,1821,YES,141,44,2.0,1411,0,0,1208,1212,1.0
5,1859,NO,164,22,1.0,1067,1,0,1004,1654,1.0
6,1821,NO,139,10,8.0,3220,0,1,381,1018,3.0
7,1954,NO,187,24,4.0,700,1,1,512,1149,0.0
8,1445,YES,174,53,7.0,1099,0,0,386,836,0.0
9,509,YES,93,9,5.0,513,1,0,1137,1224,0.0
10,769,YES,182,9,5.0,3946,1,0,248,874,3.0
11,1520,YES,177,33,8.0,3826,0,1,151,1005,3.0
12,1815,NO,159,33,4.0,1482,0,0,607,748,1.0
13,803,YES,198,17,4.0,2680,0,1,344,1440,2.0
14,1866,NO,185,52,1.0,373,0,1,356,563,0.0
15,775,NO,159,46,2.0,568,0,1,862,1864,0.0
16,838,NO,196,13,8.0,3554,0,1,984,1850,3.0
17,595,NO,121,23,3.0,3752,1,0,441,810,3.0
18,1131,YES,101,49,5.0,1835,1,0,658,878,1.0
19,682,YES,121,19,4.0,2337,0,1,902,1064,1.0
20,772,NO,81,39,7.0,2819,1,0,1314,1854,3.0
21,1709,YES,156,13,2.0,3283,0,0,974,1385,3.0
22,1949,NO,199,47,4.0,1433,1,1,407,822,1.0
23,1602,YES,114,38,3.0,1037,1,0,466,788,0.0
24,503,NO,111,8,3.0,2583,1,0,201,1245,1.0
25,961,YES,114,57,8.0,2782,1,1,291,1434,2.0
26,519,YES,132,51,4.0,3763,1,1,550,645,3.0
27,956,NO,143,41,7.0,3286,0,0,511,1075,3.0
28,1453,NO,96,52,2.0,2373,1,1,187,1311,2.0
29,851,NO,200,21,5.0,478,0,1,1171,1263,0.0
30,1579,YES,88,5,7.0,3532,1,1,1358,1739,3.0
31,1568,YES,150,33,8.0,508,0,1,413,654,0.0
32,1319,YES,107,41,1.0,2227,0,1,85,1152,1.0
33,1310,YES,100,51,4.0,3845,1,0,178,1919,3.0
34,644,YES,157,22,8.0,1262,0,0,311,881,0.0
35,725,NO,160,60,8.0,1326,1,0,1134,1249,1.0
36,589,YES,160,61,4.0,2113,1,1,429,815,1.0
37,1725,YES,119,6,2.0,3429,1,0,609,1307,3.0
38,790,NO,87,11,6.0,3169,1,1,347,730,2.0
39,560,NO,159,50,2.0,2150,1,0,1448,1613,2.0
40,1347,NO,132,44,1.0,2484,0,1,434,967,2.0
41,1646,YES,185,41,2.0,3339,0,0,1725,1932,3.0
42,1253,YES,152,5,2.0,1878,1,0,685,714,1.0
43,1656,NO,166,34,3.0,1629,0,0,880,1456,1.0
44,1195,YES,110,20,2.0,504,0,0,1580,1652,0.0
45,1514,NO,118,27,3.0,1152,0,1,186,1810,1.0
46,1723,YES,164,42,8.0,3587,1,0,202,1791,3.0
47,1054,YES,196,40,7.0,2296,1,1,27,774,1.0
48,578,YES,162,57,8.0,1270,1,1,1025,1433,0.0
49,596,NO,111,64,8.0,3238,1,0,885,1854,3.0
50,1547,YES,198,14,3.0,2059,1,1,1042,1832,2.0
51,1760,NO,127,63,8.0,2053,1,0,1382,1383,2.0
52,1654,YES,109,43,2.0,3112,1,0,546,629,3.0
53,1457,NO,102,16,3.0,1440,1,1,1013,1287,1.0
54,1073,YES,145,51,7.0,2908,1,0,690,804,2.0
55,1936,NO,104,46,3.0,2552,1,0,667,1036,2.0
56,823,YES,148,60,8.0,905,1,1,822,1449,0.0
57,987,NO,107,61,3.0,3963,1,1,581,820,3.0
58,1757,NO,180,49,6.0,2056,0,0,265,713,1.0
59,1063,NO,128,48,5.0,2910,1,1,127,683,2.0
60,1484,NO,134,12,3.0,1457,0,0,916,969,1.0
61,799,YES,144,63,8.0,431,0,1,361,975,0.0
62,1156,YES,159,50,2.0,470,1,0,322,547,0.0
63,1720,NO,168,55,2.0,2148,0,1,753,1353,2.0
64,702,NO,141,9,3.0,2955,1,0,504,1570,2.0
65,616,NO,81,44,3.0,3366,1,0,651,1618,3.0
66,1358,YES,155,36,4.0,3068,0,0,1565,1858,3.0
67,1866,NO,182,30,3.0,3834,0,0,108,1781,3.0
68,1242,NO,165,10,2.0,1050,1,1,459,1225,0.0
69,1166,NO,80,43,4.0,3993,1,0,205,603,3.0
70,1448,YES,138,45,7.0,3378,1,1,570,1724,3.0
71,1407,YES,104,22,4.0,2192,0,1,1172,1217,2.0
72,605,NO,142,9,3.5,392,0,0,160,1026,0.0
73,1038,NO,141,43,1.0,3709,0,1,4,638,3.0
74,797,YES,90,38,4.0,590,1,0,763,1413,0.0
75,819,NO,188,42,6.0,1814,1,1,339,1242,1.0
76,1114,NO,197,9,3.5,907,0,0,1040,1071,0.0
77,1234,YES,172,33,1.0,1449,1,1,166,778,0.0
78,1199,YES,116,16,4.0,3448,1,1,1168,1552,3.0
79,1103,NO,111,29,6.0,1837,1,1,990,1486,1.0
80,1589,YES,85,58,7.0,3464,1,1,319,1206,3.0
81,999,NO,199,64,4.0,2593,1,0,1397,1616,2.0
82,1510,YES,180,45,5.0,3484,1,1,708,1752,3.0
83,1008,NO,114,61,3.5,2009,0,0,1077,1122,1.0
84,1127,YES,163,57,1.0,2048,1,1,928,1049,1.0
85,1412,YES,96,25,8.0,837,0,1,516,1894,1.0
86,1496,YES,182,42,5.0,854,1,1,96,741,0.0
87,1083,YES,178,64,3.5,3210,1,0,1025,1118,3.0
88,668,NO,155,3,5.0,2746,1,1,666,1203,2.0
89,1309,NO,100,33,4.0,2334,1,1,557,1402,2.0
90,1724,NO,177,57,3.5,2822,1,0,1605,1924,3.0
91,1977,YES,171,54,7.0,1971,1,0,1226,1242,2.0
92,885,NO,103,15,7.0,1410,1,1,769,802,0.0
93,879,YES,83,14,6.0,349,0,1,403,1105,0.0
94,1322,NO,140,7,3.5,1418,1,0,177,1990,1.0
95,1137,YES,196,7,3.5,3616,0,1,942,1179,3.0
96,1355,NO,132,23,5.0,880,0,0,651,891,0.0
97,1665,YES,194,60,6.0,1601,0,0,1572,1684,2.0
98,657,NO,141,37,2.0,1412,0,0,476,961,0.0
99,593,NO,156,31,7.0,1692,0,0,1233,1317,1.0
100,1883,YES,146,10,6.0,2600,0,0,836,1739,3.0
101,1732,YES,119,12,8.0,1308,0,1,824,881,1.0
102,543,NO,192,57,5.0,2413,0,0,391,984,1.0
103,1939,YES,199,55,4.0,1047,1,0,320,520,0.0
104,553,NO,121,8,7.0,1204,1,1,325,902,0.0
105,832,NO,103,39,4.0,1799,1,1,125,1504,1.0
106,1661,NO,172,23,5.0,2676,1,1,846,1634,3.0
107,1657,YES,198,42,5.0,2597,0,0,1770,1796,3.0
108,1135,YES,83,46,1.0,3029,1,1,293,1846,3.0
109,1775,YES,163,41,1.0,2343,0,1,1633,1869,3.0
110,783,NO,106,43,3.5,2016,1,0,1198,1471,1.0
111,617,YES,199,32,7.0,2213,0,0,768,874,1.0
112,867,NO,135,4,6.0,790,1,0,70,1974,0.0
113,1310,YES,194,7,5.0,3182,1,0,117,513,2.0
114,1804,NO,153,22,7.0,3472,0,1,1158,1244,3.0
115,1900,YES,89,18,7.0,2871,0,1,1055,1661,3.0
116,909,YES,82,53,8.0,3187,0,0,635,973,2.0
117,1084,YES,107,40,3.0,1945,0,0,322,771,1.0
118,1308,NO,199,46,1.0,488,1,0,275,989,0.0
119,1778,NO,102,15,3.0,1214,0,0,1445,1954,1.0
120,1701,YES,194,10,8.0,2598,1,0,550,1338,2.0
121,772,YES,80,10,4.0,3242,1,0,1242,1712,3.0
122,825,YES,130,52,3.0,3534,1,0,597,863,3.0
123,1379,NO,200,36,2.0,3426,0,1,538,1376,3.0
124,1166,NO,198,25,5.0,2488,0,0,59,1203,2.0
125,1659,NO,89,16,1.0,3255,0,1,819,902,3.0
126,826,YES,88,58,4.0,2863,1,1,179,786,2.0
127,1564,NO,189,25,6.0,1496,0,1,1259,1965,1.0
128,1957,NO,181,31,3.0,3801,1,1,396,1732,3.0
129,1571,NO,100,19,6.0,666,0,0,713,1398,0.0
130,1414,NO,99,54,7.0,3799,1,1,262,829,3.0
131,1790,NO,184,2,1.0,1366,1,1,622,792,1.0
132,645,NO,197,41,7.0,2962,0,1,327,580,2.0
133,668,NO,195,30,8.0,2399,1,1,522,1056,1.0
134,1652,YES,89,36,4.0,2338,1,0,313,1264,2.0
135,1213,YES,108,16,5.0,2700,0,1,226,1248,2.0
136,1272,YES,133,22,6.0,2235,1,0,605,669,1.0
137,866,NO,179,46,8.0,3825,1,1,692,1686,3.0
138,536,NO,182,3,7.0,284,1,0,1386,1539,0.0
139,523,NO,155,14,8.0,1427,1,0,304,1042,0.0
140,1753,NO,134,31,1.0,1324,1,1,1590,1926,2.0
141,1218,NO,147,14,3.0,398,1,0,229,616,0.0
142,1537,YES,137,43,1.0,3685,0,1,839,1131,3.0
143,786,NO,141,33,7.0,2390,1,1,507,1697,2.0
144,1678,NO,134,64,3.0,278,0,0,436,536,0.0
145,1814,NO,141,9,2.0,3556,1,0,756,786,3.0
146,1101,NO,148,31,2.0,2196,0,1,387,1269,1.0
147,1461,NO,141,40,7.0,3799,1,0,1265,1298,3.0
148,1216,NO,199,47,3.0,2268,0,1,1852,1967,2.0
149,506,NO,159,41,1.0,2965,0,0,875,1025,2.0
150,843,YES,147,56,5.0,2341,0,1,140,800,1.0
151,742,NO,190,56,7.0,3557,1,1,577,1359,3.0
152,1692,YES,176,61,6.0,1354,0,0,975,1996,1.0
153,1485,NO,84,32,2.0,2147,0,0,510,1013,2.0
154,1547,NO,166,45,2.0,505,1,1,583,590,0.0
155,1692,NO,139,46,1.0,1394,1,0,674,1925,1.0
156,637,NO,97,60,4.0,374,0,1,1125,1989,0.0
157,1224,NO,109,6,6.0,506,0,1,747,826,0.0
158,1356,NO,198,29,6.0,3702,0,0,1612,1983,3.0
159,1840,NO,142,34,1.0,1078,1,0,311,1545,1.0
160,1481,YES,96,37,5.0,2945,1,1,116,1533,2.0
161,961,YES,152,51,6.0,2981,1,1,554,621,2.0
162,1296,NO,124,14,5.0,490,1,1,811,1272,0.0
163,1193,NO,166,26,1.0,536,0,1,730,1729,0.0
164,1441,NO,118,3,8.0,2317,1,1,577,1071,2.0
165,517,NO,183,33,4.0,3704,1,1,660,974,3.0
166,748,YES,150,27,8.0,2126,0,0,450,1554,1.0
167,1126,YES,160,10,6.0,2050,0,1,1223,1611,2.0
168,1572,NO,157,58,7.0,2462,0,0,1109,1937,3.0
169,1569,NO,110,44,4.0,1260,1,0,45,1942,1.0
170,1270,YES,101,32,7.0,3770,1,0,299,845,3.0
171,1854,NO,101,8,5.0,1886,0,0,506,627,1.0
172,625,YES,183,10,4.0,3323,1,1,635,842,2.0
173,1577,NO,197,42,5.0,2060,1,0,1045,1737,2.0
174,534,NO,189,16,5.0,3926,1,0,393,1199,3.0
175,946,NO,143,25,6.0,2177,1,1,650,1740,2.0
176,685,NO,93,29,7.0,728,0,1,433,648,0.0
177,1949,NO,101,23,5.0,2478,1,0,839,1136,3.0
178,947,NO,197,22,2.0,2842,1,0,1176,1220,2.0
179,801,YES,165,63,7.0,1617,1,1,650,879,1.0
180,703,YES,113,30,1.0,1472,0,0,218,1065,0.0
181,1165,YES,178,41,6.0,764,0,0,564,831,0.0
182,1082,NO,198,38,8.0,2337,0,1,986,1191,2.0
183,959,YES,84,20,4.0,3965,1,0,561,1631,3.0
